admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Maïs,KG,actual,Wholesale,XOF,145.0,0.1929
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Mil,KG,actual,Wholesale,XOF,145.0,0.1929
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Riz (importé),KG,actual,Wholesale,XOF,293.33,0.3903
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Sorgho,KG,actual,Wholesale,XOF,141.67,0.1885
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Maïs,KG,actual,Wholesale,XOF,106.0,0.172
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Mil,KG,actual,Wholesale,XOF,116.0,0.1882
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Riz (importé),KG,actual,Wholesale,XOF,288.0,0.4673
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Sorgho,KG,actual,Wholesale,XOF,104.0,0.1688
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Maïs,KG,actual,Wholesale,XOF,107.5,0.177
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Mil,KG,actual,Wholesale,XOF,120.0,0.1975
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Riz (importé),KG,actual,Wholesale,XOF,297.5,0.4897
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Sorgho,KG,actual,Wholesale,XOF,107.5,0.177
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Maïs,KG,actual,Wholesale,XOF,95.0,0.1569
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Mil,KG,actual,Wholesale,XOF,113.75,0.1879
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Riz (importé),KG,actual,Wholesale,XOF,282.5,0.4667
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Sorgho,KG,actual,Wholesale,XOF,96.25,0.159
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Maïs,KG,actual,Wholesale,XOF,95.0,0.1595
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Mil,KG,actual,Wholesale,XOF,115.0,0.1931
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Riz (importé),KG,actual,Wholesale,XOF,287.5,0.4826
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Sorgho,KG,actual,Wholesale,XOF,98.75,0.1658
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Maïs,KG,actual,Wholesale,XOF,90.0,0.1572
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Mil,KG,actual,Wholesale,XOF,106.0,0.1851
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Riz (importé),KG,actual,Wholesale,XOF,290.0,0.5064
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Sorgho,KG,actual,Wholesale,XOF,98.0,0.1711
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Maïs,KG,actual,Wholesale,XOF,90.0,0.1594
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Mil,KG,actual,Wholesale,XOF,98.75,0.1749
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Riz (importé),KG,actual,Wholesale,XOF,287.5,0.5093
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Sorgho,KG,actual,Wholesale,XOF,86.25,0.1528
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Maïs,KG,actual,Wholesale,XOF,79.6,0.138
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Mil,KG,actual,Wholesale,XOF,94.0,0.163
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Riz (importé),KG,actual,Wholesale,XOF,288.0,0.4994
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Sorgho,KG,actual,Wholesale,XOF,75.0,0.13
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Maïs,KG,actual,Wholesale,XOF,85.0,0.1442
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Mil,KG,actual,Wholesale,XOF,92.5,0.1569
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Riz (importé),KG,actual,Wholesale,XOF,282.5,0.4791
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Sorgho,KG,actual,Wholesale,XOF,73.75,0.1251
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Maïs,KG,actual,Wholesale,XOF,91.25,0.1569
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Mil,KG,actual,Wholesale,XOF,88.75,0.1526
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Riz (importé),KG,actual,Wholesale,XOF,280.0,0.4814
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Sorgho,KG,actual,Wholesale,XOF,76.25,0.1311
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Maïs,KG,actual,Wholesale,XOF,82.0,0.1455
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Mil,KG,actual,Wholesale,XOF,81.0,0.1437
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Riz (importé),KG,actual,Wholesale,XOF,260.0,0.4613
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Sorgho,KG,actual,Wholesale,XOF,75.0,0.1331
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Maïs,KG,actual,Wholesale,XOF,71.25,0.1282
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Mil,KG,actual,Wholesale,XOF,81.25,0.1462
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Riz (importé),KG,actual,Wholesale,XOF,265.0,0.4769
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Sorgho,KG,actual,Wholesale,XOF,75.0,0.135
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Maïs,KG,actual,Wholesale,XOF,83.75,0.1623
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Mil,KG,actual,Wholesale,XOF,78.75,0.1526
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Riz (importé),KG,actual,Wholesale,XOF,265.0,0.5135
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Sorgho,KG,actual,Wholesale,XOF,80.0,0.155
